name	title	level	facing	categories	description	detail
policy_exists_rls_disabled	Policy Exists RLS Disabled	ERROR	EXTERNAL	["SECURITY"]	Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.	Table \`public.categories\` has RLS policies but RLS is not enabled on the table. Policies include {"Allow all for authenticated","Allow update categories"}.
policy_exists_rls_disabled	Policy Exists RLS Disabled	ERROR	EXTERNAL	["SECURITY"]	Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.	Table \`public.delivery_options\` has RLS policies but RLS is not enabled on the table. Policies include {"Public Access Delivery"}.
policy_exists_rls_disabled	Policy Exists RLS Disabled	ERROR	EXTERNAL	["SECURITY"]	Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.	Table \`public.payment_methods\` has RLS policies but RLS is not enabled on the table. Policies include {"Public Access Payments"}.
policy_exists_rls_disabled	Policy Exists RLS Disabled	ERROR	EXTERNAL	["SECURITY"]	Detects cases where row level security (RLS) policies have been created, but RLS has not been enabled for the underlying table.	Table \`public.store_settings\` has RLS policies but RLS is not enabled on the table. Policies include {"Public Access Settings"}.
rls_disabled_in_public	RLS Disabled in Public	ERROR	EXTERNAL	["SECURITY"]	Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST	Table \`public.products\` is public, but RLS has not been enabled.
rls_disabled_in_public	RLS Disabled in Public	ERROR	EXTERNAL	["SECURITY"]	Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST	Table \`public.categories\` is public, but RLS has not been enabled.
rls_disabled_in_public	RLS Disabled in Public	ERROR	EXTERNAL	["SECURITY"]	Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST	Table \`public.payment_methods\` is public, but RLS has not been enabled.
rls_disabled_in_public	RLS Disabled in Public	ERROR	EXTERNAL	["SECURITY"]	Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST	Table \`public.delivery_options\` is public, but RLS has not been enabled.
rls_disabled_in_public	RLS Disabled in Public	ERROR	EXTERNAL	["SECURITY"]	Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST	Table \`public.store_settings\` is public, but RLS has not been enabled.
rls_disabled_in_public	RLS Disabled in Public	ERROR	EXTERNAL	["SECURITY"]	Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST	Table \`public.orders\` is public, but RLS has not been enabled.
